Name,Firm,Completeness %,Missing Count,Missing Fields,ID,Has Bio,Has Sectors,Has Stage,Has URL,Has LinkedIn,LinkedIn URL,Website URL
"act as the (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)","act as the (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",faa1ba26-b61d-47d6-869b-6069d874df58,No,Yes,Yes,No,Yes,"https://linkedin.com/in/act-as-the",""
"Adam Fisher","Adam Fisher",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",982db433-590e-4923-84c0-49adc1a24471,No,Yes,Yes,No,Yes,"https://linkedin.com/in/adam-fisher",""
"Adina Tecklu","Adina Tecklu",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a19cf91b-efc1-43f3-b5c3-e4011343ab6c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/adina-tecklu",""
"Adrian Adegbesan","Adrian Adegbesan",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",be1b263d-4854-40be-a855-7172d879bdba,No,Yes,Yes,No,Yes,"https://linkedin.com/in/adrian-adegbesan",""
"Adriana Roche","Adriana Roche",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c5de708a-dbc5-43dc-9d8a-b61efeb82ebe,No,Yes,Yes,No,Yes,"https://linkedin.com/in/adriana-roche",""
"Agents PEI Fund","Agents PEI Fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e0456182-e155-47cb-8d3d-25c4d2bf1d59,No,Yes,Yes,No,Yes,"https://linkedin.com/in/agents-pei-fund",""
"Agents PEI Fund","Agents PEI Fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1593c119-22d8-401e-8cda-894749f4acfd,No,Yes,Yes,No,Yes,"https://linkedin.com/in/agents-pei-fund",""
"AgFunder","AgFunder",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8e45e754-5f0c-48f9-80ff-67519e311675,No,Yes,Yes,No,Yes,"https://linkedin.com/in/agfunder",""
"Agilitas","Agilitas",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",45044ba4-216d-4a93-b2ef-62befa25a793,No,Yes,Yes,No,Yes,"https://linkedin.com/in/agilitas",""
"ago Bain Capital","ago Bain Capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4367c495-c0fc-4c13-aaa9-1e0b5857ae3b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ago-bain-capital",""
"ai Anoushka Vaswani (Lsvp)","ai Anoushka Vaswani (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3e51001c-245e-4f6a-834e-d77a09dff225,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ai-anoushka-vaswani",""
"ai Barry Eggers (Lsvp)","ai Barry Eggers (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",972024ae-fb6e-46b9-88fa-873bae9f33fd,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ai-barry-eggers",""
"ai Bucky Moore (Lsvp)","ai Bucky Moore (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e2fdb6c8-982e-4618-a27f-589d4e2a9578,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ai-bucky-moore",""
"ai David Gussarsky (Lsvp)","ai David Gussarsky (Lsvp)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9c51fadf-1f3f-4c91-b3e3-55bbce8dc64c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ai-david-gussarsky",""
"AI Liz Factor (Villageglobal)","AI Liz Factor (Villageglobal)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3c754eee-3dfa-4cf8-af66-9af17030ea57,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ai-liz-factor",""
"Aileen Lee","Aileen Lee",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a5438552-d1a1-402d-84f1-e9aa704bf78c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aileen-lee",""
"AJ Tennant","AJ Tennant",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",315ef4f8-3477-4a57-ba4d-2ad2c569d341,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aj-tennant",""
"Alaska Permanent","Alaska Permanent",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",6cab2410-6bd5-449d-9102-a6d6add46fb0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alaska-permanent",""
"Alex Brussell","Alex Brussell",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",6bbe0bbe-62bd-4cfc-8d33-54c07376d797,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-brussell",""
"Alex Finkelstein","Alex Finkelstein",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7a5007a4-a5d0-4d50-b340-4b00d5e01776,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-finkelstein",""
"Alex Mayweg, Ph.D.","Alex Mayweg, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",5a0270ee-315a-44f0-995b-5816984531fb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-mayweg",""
"Alex Mayweg, Ph.D. (Versant Ventures)","Alex Mayweg, Ph.D. (Versant Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",644ef959-81cc-4acd-a205-181c57099572,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-mayweg",""
"Alex Morgan","Alex Morgan",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",24df0b77-6b2d-4ab9-b395-2105b70fafb3,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-morgan",""
"Alex Stamos (Felicis)","Alex Stamos (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",317bb5bd-1069-4f82-83c0-898ceda78947,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-stamos",""
"Alex Taussig","Alex Taussig",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7b25c696-ca01-44ba-a7b7-ac81f271dd16,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-taussig",""
"Alex Walterspiegel","Alex Walterspiegel",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",97820c74-4016-4c4b-80c7-1663f809bcef,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-walterspiegel",""
"Alex Walterspriel","Alex Walterspriel",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",80a8cdde-023c-4c20-aa7a-0b5293f6d5ff,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-walterspriel",""
"Alex Waltersspiel","Alex Waltersspiel",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b7a6099e-7000-4f59-a527-81d1240b4361,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-waltersspiel",""
"Alexa Lyons","Alexa Lyons",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e3d59e04-3008-4bd9-b6fb-d9967a0b94e1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alexa-lyons",""
"Alexa Lyons (Spark Capital)","Alexa Lyons (Spark Capital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a6d7482b-df38-4313-8d6f-f8cda3f3cac5,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alexa-lyons",""
"Alexander Schmitt","Alexander Schmitt",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",97c965e7-9948-47ad-8c39-4b19c5d55cac,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alexander-schmitt",""
"Alexandr Wang","Alexandr Wang",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ac4694e6-f845-42db-b0ab-c5729e239f9e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alexandr-wang",""
"Alexandra Frumar","Alexandra Frumar",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",547b54c0-1f90-48b0-8f50-d8cf3d09ae36,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alexandra-frumar",""
"Ali Behbahani","Ali Behbahani",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c1046698-07f9-4e25-a502-4824de04e439,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ali-behbahani",""
"Ali Fisher Sweet","Ali Fisher Sweet",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",56ec85a7-6135-4af7-8de4-2bd661f860be,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ali-fisher-sweet",""
"Ali Yahya","Ali Yahya",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a8567d15-e933-411f-8762-07240a87baf2,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ali-yahya",""
"Alice Brooks","Alice Brooks",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4eb251ad-3971-4845-9ed6-fb296780271a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alice-brooks",""
"Alicia Levey, Ph.D. (Versant Ventures)","Alicia Levey, Ph.D. (Versant Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ea57a481-568c-4580-9073-52b0aae3e2e1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alicia-levey",""
"Alicia Prodromou","Alicia Prodromou",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7aae0c19-0811-491e-b750-0a7a3f37fe62,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alicia-prodromou",""
"Alli London","Alli London",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",03147f53-9b85-45be-be63-0f4ab5d0d049,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alli-london",""
"Alok Bathija","Alok Bathija",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3d434c23-7ec7-496b-a175-0e9cce5e2649,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alok-bathija",""
"Alphabet","Alphabet",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",6be7c5b3-b63c-4eb0-81e8-f08b952848ee,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alphabet",""
"Amar Chokhawala","Amar Chokhawala",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",3e81eb57-2909-4938-9635-31f038bc2729,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amar-chokhawala",""
"Amber Yang","Amber Yang",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ed312312-e2f7-4ab4-85dc-16c489bddccb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amber-yang",""
"American Management","American Management",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",b4e6cdde-d28a-4d9d-993f-ab01ab34f5b9,No,Yes,Yes,No,Yes,"https://linkedin.com/in/american-management",""
"Amrit RaoGeneral (Villageglobal)","Amrit RaoGeneral (Villageglobal)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e7b8e74f-0354-4de9-9d7c-d2fbc1e71a4c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amrit-raogeneral",""
"Amy Saper","Amy Saper",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4f327ef6-435a-4d2c-816a-39e75d28ad45,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amy-saper",""
"Amy Saper (Uncorkcapital)","Amy Saper (Uncorkcapital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a2aa430d-e0d1-45cc-bd7a-abe62c228099,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amy-saper",""
"Ana Andreescu","Ana Andreescu",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",bc9decb0-7c45-4c74-a96e-49b0ae710795,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ana-andreescu",""
"and DataMichelle DelcambreExecutive (Felicis)","and DataMichelle DelcambreExecutive (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",cc21df80-fe9f-450e-8a9e-fc4692e25a7c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/and-datamichelle-delcambreexecutive",""
"and methodology Fund","and methodology Fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",efcb45ae-1a25-44f0-9366-657103625b83,No,Yes,Yes,No,Yes,"https://linkedin.com/in/and-methodology-fund",""
"and methodology Fund","and methodology Fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f228613b-9205-479d-af3b-878fd3fb6d45,No,Yes,Yes,No,Yes,"https://linkedin.com/in/and-methodology-fund",""
"and raising capital","and raising capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",44a2647c-dd46-4f0b-8343-43685338c3bc,No,Yes,Yes,No,Yes,"https://linkedin.com/in/and-raising-capital",""
"and Stack Mythical (Boldstart)","and Stack Mythical (Boldstart)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8a025a69-f7e4-49ed-bc11-c4c92b3c1691,No,Yes,Yes,No,Yes,"https://linkedin.com/in/and-stack-mythical",""
"André Dubois","André Dubois",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7a63163e-725c-4488-afbd-d8678ea677c0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andr-dubois",""
"Andrea Black","Andrea Black",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",56f492cb-e4bd-4bbd-86de-8d763f8c35f6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-black",""
"Andrea Black (Matrix Partners)","Andrea Black (Matrix Partners)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",962ca0a6-1847-452f-9983-3a3881414473,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-black",""
"Andrea Hippeau (Lerer Hippeau)","Andrea Hippeau (Lerer Hippeau)",49,5,"bio; investment_thesis; check_size; notable_investments; url",a1b0d4ea-80d0-469b-92ed-9c4aa51d6315,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-hippeau",""
"Andrea Hippeau Andrea (Lererhippeau)","Andrea Hippeau Andrea (Lererhippeau)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8b1debb7-be0a-48c1-b532-eaac93fc5a69,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-hippeau-andrea",""
"Andrea Jackson","Andrea Jackson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c106c860-8f16-4a5f-8452-b94153eb205a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-jackson",""
"Andrea Jackson (North Pond Ventures)","Andrea Jackson (North Pond Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4d8fb4c7-5ca9-4d28-a815-2c10f2aa37af,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrea-jackson",""
"Andrei Brasoveanu","Andrei Brasoveanu",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f71f8e11-215f-4775-b8dc-939050c39c6a,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrei-brasoveanu",""
"Andrew Ciatto","Andrew Ciatto",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",54ef8149-beba-4277-b1f2-6162f5fdfb7c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-ciatto",""
"Andrew Cleland","Andrew Cleland",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e0185de5-70d2-4cd1-b16f-31c73dd7c380,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-cleland",""
"Andrew Hall","Andrew Hall",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",d5af3c78-afc5-43ee-9944-eec99f166916,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-hall",""
"Andrew Jefferson","Andrew Jefferson",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",601dc957-309d-479c-8e89-686bf8be5164,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-jefferson",""
"Andrew Jefferson (Versant Ventures)","Andrew Jefferson (Versant Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7982fe72-5661-4c5d-a5fb-daf9258c6787,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-jefferson",""
"Andrew Lee, Ph.D.","Andrew Lee, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4e7b82b4-9d4d-40d9-8344-4bd4804c7f80,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-lee",""
"Andrew Lee, Ph.D. (North Pond Ventures)","Andrew Lee, Ph.D. (North Pond Ventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",0ffd1d31-72ae-46b1-a1c6-1da0f8f069ce,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-lee",""
"Andrew Sather","Andrew Sather",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",78f40e2c-2d89-43c4-8819-b996787210ce,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-sather",""
"Andrew Schoen","Andrew Schoen",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",32a35fd6-47dc-440c-9cf4-d294a1275022,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-schoen",""
"Andrew Verhalen","Andrew Verhalen",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7a6514c5-0046-4099-8bc6-c2b1f7f6320d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andrew-verhalen",""
"Andy McLoughlin","Andy McLoughlin",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",eb1efe69-2471-4f0f-be1b-a295281bdcd3,No,Yes,Yes,No,Yes,"https://linkedin.com/in/andy-mcloughlin",""
"Aner Mazur","Aner Mazur",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8d219b23-1952-415c-a391-9207a27d02c1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aner-mazur",""
"Angel Squad","Angel Squad",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",0595e2d6-c40c-4441-8ba3-166c380bdbfc,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/angel-squad",""
"AngelList","AngelList",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8dc6ac8b-0976-409c-9f70-15a0dfbcd10e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/angellist",""
"AngelListPublic & private fund","AngelListPublic & private fund",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",874354c7-9aec-483f-89ca-7fe10e61d165,No,Yes,Yes,No,Yes,"https://linkedin.com/in/angellistpublic-private-fund",""
"Anine Bing","Anine Bing",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",acbc6289-53fd-418a-a8fe-daf0fbf96959,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anine-bing",""
"Anjali Jagannath Vice (Northpondventures)","Anjali Jagannath Vice (Northpondventures)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",63b41872-0f4e-41b7-a8db-3decb9954e90,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anjali-jagannath-vice",""
"Ann and Bill Payne","Ann and Bill Payne",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f3686e38-4d93-4a5c-bb0b-a7a43eda7544,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ann-and-bill-payne",""
"Ann Miura-Ko","Ann Miura-Ko",49,5,"bio; investment_thesis; check_size; notable_investments; url",f44f5670-22f7-42a5-a89e-b978bb38f609,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ann-miura-ko",""
"Anna Fokina","Anna Fokina",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9b909dd9-eacc-477a-ad9b-a788786bab85,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anna-fokina",""
"Anna Nguyen","Anna Nguyen",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",8e7b426e-508f-4b94-aef0-bded0aff2c53,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anna-nguyen",""
"Anne Dwane (Village Global)","Anne Dwane (Village Global)",49,5,"bio; investment_thesis; check_size; notable_investments; url",5669391e-2f5c-4fc9-ba6f-4bdaab6abd5d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anne-dwane",""
"Anne Rockhold","Anne Rockhold",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1ea6485c-2f87-4700-9326-c1027af7cbca,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anne-rockhold",""
"Annie Duke","Annie Duke",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",696edc38-78da-427b-9138-6f225c8c3fae,No,Yes,Yes,No,Yes,"https://linkedin.com/in/annie-duke",""
"Anoushka Vaswani","Anoushka Vaswani",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c7a1bf7a-a743-412a-9b5c-f7d27e81e5b0,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anoushka-vaswani",""
"Anthony Perez","Anthony Perez",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9c759517-ca0c-46d3-bd8b-6d645c87318b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anthony-perez",""
"Antonio Rodriguez","Antonio Rodriguez",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",9f48ebd0-fb94-4353-8d95-a1ec39932843,No,Yes,Yes,No,Yes,"https://linkedin.com/in/antonio-rodriguez",""
"any additional capital","any additional capital",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f2d07d1f-4854-4488-addf-9fc862c5a2bc,No,Yes,Yes,No,Yes,"https://linkedin.com/in/any-additional-capital",""
"appointments at KKR (Penews)","appointments at KKR (Penews)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",c7e2acfd-9656-4790-9d7b-d7a98ac03229,No,Yes,Yes,No,Yes,"https://linkedin.com/in/appointments-at-kkr",""
"ARCH Venture Partners","ARCH Venture Partners",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",18b76717-4dd9-4eed-a84e-7fe0fea2cbb5,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/arch-venture-partners",""
"Aref Hilaly","Aref Hilaly",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",a28adf39-12df-458a-acab-91a77597f122,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aref-hilaly",""
"Ares Management","Ares Management",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",234af6b3-17b6-49e0-b8f9-ae1aebb35a3e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ares-management",""
"Ari Nowacek, M.D, Ph.D.","Ari Nowacek, M.D, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e1897a56-1ae6-4abc-bf49-953109b8e4fc,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ari-nowacek",""
"Ariel Kantor, Ph.D.","Ariel Kantor, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",616e2d2e-60df-43fd-b30e-13050768d0f4,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ariel-kantor",""
"Arif Janmohamed","Arif Janmohamed",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a3475def-0e44-4c56-b781-1fa9e5357d85,No,Yes,Yes,No,Yes,"https://linkedin.com/in/arif-janmohamed",""
"Arjun Balaji","Arjun Balaji",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e5af00c7-193b-474b-b46d-72b02b2a1cd2,No,Yes,Yes,No,Yes,"https://linkedin.com/in/arjun-balaji",""
"Arjun Jain","Arjun Jain",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",d3d86473-922e-4322-ab3c-bd4b6571465e,No,Yes,Yes,No,Yes,"https://linkedin.com/in/arjun-jain",""
"ARK","ARK",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",0afe8244-9054-4a0c-b792-90d3ae8fc542,Yes,Yes,Yes,No,Yes,"https://www.ark-funds.com/?_gl=1*1wmmor4*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiA0KrJBhCOARIsAGIy9wA9ECvVDsNzVRGwxo0AZ9ojijjhW8LyeiRhuJCvDj_aj0LWt15QWvgaAnF3EALw_wcB&gbraid=0AAAAADoxXfLqmZX9NsUSvGwEBTm2Wa7CN",""
"Arpan Shah","Arpan Shah",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",180c23ec-535d-48c3-a38b-7923e4492385,No,Yes,Yes,No,Yes,"https://linkedin.com/in/arpan-shah",""
"Artiman Management LLC","Artiman Management LLC",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",b76bca39-1b82-4325-8fea-c1446be99d8c,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/artiman-management-llc",""
"Ashley Cravens","Ashley Cravens",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",eed5bef0-f688-4377-8f0e-86472351a7f7,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ashley-cravens",""
"Assaf Rappaport","Assaf Rappaport",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",ef058c1c-0cfd-4531-b1f5-149a0b69533d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/assaf-rappaport",""
"Astasia Myers","Astasia Myers",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",2139e041-70ae-40e5-a607-13b1cd3695bb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/astasia-myers",""
"Astasia Myers (Felicis)","Astasia Myers (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",1b0d1810-5deb-4acf-b33e-ce5b2a711ded,No,Yes,Yes,No,Yes,"https://linkedin.com/in/astasia-myers",""
"Astasia MyersGeneral (Felicis)","Astasia MyersGeneral (Felicis)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",60d7fd88-0acb-4100-90e9-11eac286e8cd,No,Yes,Yes,No,Yes,"https://linkedin.com/in/astasia-myersgeneral",""
"at Evercore (Panteracapital)","at Evercore (Panteracapital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",4d44821d-d72e-43c5-a1f1-594787dc0508,No,Yes,Yes,No,Yes,"https://linkedin.com/in/at-evercore",""
"at Strategic Value (Panteracapital)","at Strategic Value (Panteracapital)",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",12ad9760-526c-4116-94b0-6f38c58d7a97,No,Yes,Yes,No,Yes,"https://linkedin.com/in/at-strategic-value",""
"Atomico","Atomico",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",fd39ab80-9cbc-4879-a922-09854cebaf40,Yes,Yes,Yes,No,Yes,"https://linkedin.com/in/atomico",""
"Avisha Mehra Naganath","Avisha Mehra Naganath",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",5494abe2-22ca-4740-a147-cdb8e6151ae4,No,Yes,Yes,No,Yes,"https://linkedin.com/in/avisha-mehra-naganath",""
"Axel Bouchon, Ph.D.","Axel Bouchon, Ph.D.",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a8941d79-24c5-49a4-9dfc-c60c17831276,No,Yes,Yes,No,Yes,"https://linkedin.com/in/axel-bouchon",""
"Aya Somai","Aya Somai",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e7409984-04e0-45de-bf40-c21af2343f91,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aya-somai",""
