Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Anik Debnath","Anik Debnath",0ef8fd0b-58b8-4f93-b44e-12eb98b40f98,YES,NO,YES,"","Anik Debnath is a venture capital firm focused on SaaS, AI/ML.","SaaS; AI/ML",""
"ANIMO Ventures","ANIMO Ventures",106a082a-0750-4cdb-81cc-1092a116cb7f,YES,YES,YES,"https://linkedin.com/in/animo-ventures","","Generalist","Pre-seed; Seed; Late Seed; Seed+"
"Anine Bing","Anine Bing",acbc6289-53fd-418a-a8fe-daf0fbf96959,YES,YES,YES,"https://linkedin.com/in/anine-bing","Fashion brand founder","SaaS; AI/ML","Seed; Series A"
"Anish Acharya","Anish Acharya",8cf8a869-b719-49b7-8606-42e6b47e14dc,YES,NO,YES,"https://linkedin.com/in/anish-acharya","General Partner at a16z consumer investing in AI and consumer apps","AI/ML; Crypto; SaaS; Consumer","Seed; Series A; Series B; Growth"
"Anjali Jagannath Vice (Northpondventures)","Anjali Jagannath Vice (Northpondventures)",63b41872-0f4e-41b7-a8db-3decb9954e90,YES,YES,YES,"https://linkedin.com/in/anjali-jagannath-vice","","SaaS; AI/ML","Seed; Series A"
"Anjney Midha","Anjney Midha",5f4f2189-3229-4d9a-ab68-013e414b2704,YES,YES,YES,"https://linkedin.com/in/anjney-midha","Andreessen Horowitz General Partner focusing on infrastructure and AI","SaaS; AI/ML","Seed; Series A"
"Ann and Bill Payne","Ann and Bill Payne",f3686e38-4d93-4a5c-bb0b-a7a43eda7544,YES,YES,YES,"https://linkedin.com/in/ann-and-bill-payne","Associated with ACA Angel University","SaaS; AI/ML","Seed; Series A"
"Ann Miura-Ko","Ann Miura-Ko",f44f5670-22f7-42a5-a89e-b978bb38f609,YES,NO,YES,"https://linkedin.com/in/ann-miura-ko","Co-founder and Partner at Floodgate","technology","seed; series_a"
"Ann Payne","Ann Payne",18852b7e-e313-4412-8374-0fa6083f9a26,YES,NO,YES,"https://linkedin.com/in/ann-payne","Ann Payne is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Anna Fokina","Anna Fokina",9b909dd9-eacc-477a-ad9b-a788786bab85,YES,YES,YES,"https://linkedin.com/in/anna-fokina","Investment Director, DCVC Bio","SaaS; AI/ML","Seed; Series A"
"Anna Fokina (DCVC)","DCVC",8e3caa6e-8db2-4ce9-918c-809333c8b2d1,YES,YES,NO,"https://linkedin.com/in/anna-fokina","Anna Fokina is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Anna Nguyen","Anna Nguyen",8e7b426e-508f-4b94-aef0-bded0aff2c53,YES,YES,YES,"https://linkedin.com/in/anna-nguyen","Team Member at Ribbitcap","SaaS; AI/ML","Seed; Series A"
"Anna Nguyen (Ribbit Capital)","Anna Nguyen (Ribbit Capital)",de8bb59c-b217-4145-a40a-05915e61820d,YES,YES,YES,"https://linkedin.com/in/anna-nguyen","Team member at Ribbit Capital","technology","seed; series_a"
"Anne Dwane","Anne Dwane",545c10fc-8fb5-42a8-9693-6fa98963a8aa,YES,YES,YES,"https://linkedin.com/in/anne-dwane","General Partner at Village Global","technology","seed; series_a"
"Anne Dwane (Village Global)","Anne Dwane (Village Global)",5669391e-2f5c-4fc9-ba6f-4bdaab6abd5d,YES,NO,YES,"https://linkedin.com/in/anne-dwane","General Partner at Village Global","technology","seed; series_a"
"Anne DwaneGeneral (Villageglobal)","Anne DwaneGeneral (Villageglobal)",f6235844-99df-4f70-8976-74922409e016,YES,NO,YES,"https://linkedin.com/in/anne-dwanegeneral","Anne DwaneGeneral (Villageglobal) is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Anne Rockhold","Anne Rockhold",1ea6485c-2f87-4700-9326-c1027af7cbca,YES,YES,YES,"https://linkedin.com/in/anne-rockhold","Accel Team Member based in Emeritus","SaaS; AI/ML","Seed; Series A"
"Annie Duke","Annie Duke",696edc38-78da-427b-9138-6f225c8c3fae,YES,YES,YES,"https://linkedin.com/in/annie-duke","Special Partner, Decision Science at Firstround","SaaS; AI/ML","Seed; Series A"
"Annie Duke (First Round)","First Round Capital",e9da6913-0ec3-4bfb-a82e-0866b8534bee,YES,YES,NO,"https://linkedin.com/in/annie-duke","Special Partner, Decision Science at First Round","SaaS; Consumer; Enterprise; AI/ML","Pre-Seed; Seed"
"Anorak Ventures","Anorak Ventures",c8ed4482-7aad-4e7c-b262-23dac44cb2d5,YES,NO,YES,"https://linkedin.com/in/anorak-ventures","Anorak Ventures is a vc firm focused on Focus on technical founders investing at Pre-Seed and Seed stage.","Focus on technical founders","Pre-Seed; Seed"
"Anoushka Vaswani","Anoushka Vaswani",c7a1bf7a-a743-412a-9b5c-f7d27e81e5b0,YES,YES,YES,"https://linkedin.com/in/anoushka-vaswani","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Anoushka Vaswani (Lightspeed)","Lightspeed Venture Partners",30db9233-5044-48d8-95d9-9b885b122f10,YES,YES,NO,"https://linkedin.com/in/anoushka-vaswani","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Anthony Perez","Anthony Perez",9c759517-ca0c-46d3-bd8b-6d645c87318b,YES,YES,YES,"https://linkedin.com/in/anthony-perez","Director, Finance at Forerunnerventures","SaaS; AI/ML","Seed; Series A"
"Anthony Perez (Forerunner Ventures)","Anthony Perez (Forerunner Ventures)",16f8d6d4-9a23-440b-890d-6169caba9fd9,YES,YES,YES,"https://linkedin.com/in/anthony-perez","Director, Finance","technology","seed; series_a"
"Antoine Moyroud","Antoine Moyroud",0c3ca539-d298-488e-934d-de916b8473e6,YES,NO,YES,"https://linkedin.com/in/antoine-moyroud","Antoine Moyroud is a angel investor focused on Enterprise, Consumer, Fintech investing at Seed and Series A stage.","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Antoine Moyroud (Lightspeed)","Lightspeed Venture Partners",a6db9646-ab38-4456-a299-ca54261e5d72,YES,YES,NO,"https://linkedin.com/in/antoine-moyroud","Partner at Lightspeed, focuses on AI, Europe","Enterprise; Consumer; Fintech; SaaS","Seed; Series A; Series B"
"Antonio Rodriguez","Antonio Rodriguez",9f48ebd0-fb94-4353-8d95-a1ec39932843,YES,YES,YES,"https://linkedin.com/in/antonio-rodriguez","Focuses on AI and Frontier technologies","SaaS; AI/ML","Seed; Series A"
"Antonio Rodriguez (Matrix Partners)","Antonio Rodriguez (Matrix Partners)",ea3d0bc6-f781-4ad0-ab31-cb37de5e23d4,YES,YES,YES,"https://linkedin.com/in/antonio-rodriguez","Partner at Matrix Partners focusing on AI and Frontier investments","SaaS; AI/ML","Seed; Series A"
"Anuja Kale","Anuja Kale",cd04ea95-ce7c-472b-ba5c-704db75915cc,YES,YES,YES,"","Partner","SaaS; AI/ML","Seed; Series A"
"any additional capital","any additional capital",f2d07d1f-4854-4488-addf-9fc862c5a2bc,YES,YES,YES,"https://linkedin.com/in/any-additional-capital","","SaaS; AI/ML","Seed; Series A"
"APA Venture Partners","APA Venture Partners",3cfa9836-4d42-403a-b4e0-433ae396283f,YES,YES,NO,"https://linkedin.com/in/apa-venture-partners","","AI; SaaS; HealthTech","Seed; Series A"
"Apollo","Apollo",32c3c4ae-752a-485e-aaa7-ba032ef7f13a,YES,NO,YES,"https://linkedin.com/in/apollo","Global alternative investment manager","SaaS; AI/ML","Seed; Series A"
"Apollo Global Management","Apollo Global Management",65662c8c-410a-4357-b896-122422cc670a,YES,YES,YES,"https://linkedin.com/in/apollo-global-management","PE firm focused on public market correlations and reset opportunities","SaaS; AI/ML","Seed; Series A"
"appointments at KKR (Penews)","appointments at KKR (Penews)",c7e2acfd-9656-4790-9d7b-d7a98ac03229,YES,YES,YES,"https://linkedin.com/in/appointments-at-kkr","","SaaS; AI/ML","Seed; Series A"
"Arash Rebek","Arash Rebek",0952fdc1-7737-4b25-9705-f786c2d3b819,YES,NO,YES,"https://linkedin.com/in/arash-rebek","Arash Rebek is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Arash Rebek (Khosla Ventures)","Khosla Ventures",c7f4306c-ab03-43c9-a32e-04d558efc6f2,YES,YES,NO,"https://linkedin.com/in/arash-rebek","Platform team member at Khosla Ventures","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Arbor Ventures","Arbor Ventures",314a0123-e106-49bc-8291-1cfe735e658c,YES,NO,YES,"https://linkedin.com/in/arbor-ventures","Arbor Ventures is a vc firm focused on E-Commerce, Marketplace, Fintech investing at Seed and Series A stage.","E-Commerce; Marketplace; Fintech; Insuretech; Cybersecurity","Seed; Series A"
"ARC Financial","ARC Financial",81958714-e5c0-40f6-9eeb-3457b7a9c468,YES,NO,YES,"https://linkedin.com/in/arc-financial","PE firm completing take-private of Step Energy Services","SaaS; AI/ML","Seed; Series A"
"Arc Ventures","Arc Ventures",72edde04-33f6-4a32-9edd-959ac0953ebf,YES,YES,NO,"https://linkedin.com/in/arc-ventures","","AI/ML; SaaS; Fintech","Seed; Series A; Series B"
"ARCH Venture Partners","ARCH Venture Partners",18b76717-4dd9-4eed-a84e-7fe0fea2cbb5,YES,YES,YES,"https://linkedin.com/in/arch-venture-partners","Catalyzing discoveries that prevent, detect, and cure disease.","technology; HealthTech; Biotech","seed; series_a"
"Archimed","Archimed",aed59bc3-2714-4465-b04e-41c99a0c58ea,YES,YES,YES,"https://linkedin.com/in/archimed","Healthcare-focused PE firm expecting subsector acceleration","SaaS; AI/ML","Seed; Series A"
"Arctos Partners","Arctos Partners",fc06077e-5ee3-4b86-8b9b-132f0874cf3b,YES,YES,YES,"https://linkedin.com/in/arctos-partners","Sports-focused PE firm with PBG baseball investment","SaaS; AI/ML","Seed; Series A"
"Ardian","Ardian",701bec7d-1164-45af-b90d-f6a1d29a8691,YES,NO,YES,"https://linkedin.com/in/ardian","PE firm investing in specialty pharmacy and pharmaceutical sectors","SaaS; AI/ML","Seed; Series A"
"are built by (Matrixpartners)","are built by (Matrixpartners)",8656952f-b0a9-4580-b2a3-b791bab0ab33,YES,NO,YES,"","Team member at Matrixpartners. Discovered from: https://www.matrixpartners.com/team/","Technology","Seed; Series A"
"Aref Hilaly","Aref Hilaly",a28adf39-12df-458a-acab-91a77597f122,YES,YES,YES,"https://linkedin.com/in/aref-hilaly","Investor at Bain Capital Ventures","SaaS; infrastructure software; security; fintech; proptech","Seed; Series A"
"Ares Management","Ares Management",234af6b3-17b6-49e0-b8f9-ae1aebb35a3e,YES,YES,YES,"https://linkedin.com/in/ares-management","PE firm investing $475m in Steward Partners","SaaS; AI/ML","Seed; Series A"
"Ari Nowacek","Ari Nowacek",05265f61-613a-4afb-a84c-26410770e8d4,YES,YES,YES,"","Partner at Archventure","SaaS; AI/ML",""
"Ari Nowacek (Arch Venture Partners)","Ari Nowacek (Arch Venture Partners)",f8725ba0-1906-42de-87fb-8c94bd53f079,YES,YES,YES,"https://linkedin.com/in/ari-nowacek","Partner","technology; HealthTech; Biotech","seed; series_a"
"Ari Nowacek, M.D, Ph.D.","Ari Nowacek, M.D, Ph.D.",e1897a56-1ae6-4abc-bf49-953109b8e4fc,YES,YES,YES,"https://linkedin.com/in/ari-nowacek","Partner at Archventure","SaaS; AI/ML","Seed; Series A"
"Arianna Simpson","Arianna Simpson",f38c2218-6b7a-41ce-bbb4-9334d5a10db8,YES,YES,YES,"https://linkedin.com/in/arianna-simpson","Andreessen Horowitz General Partner leading crypto investments","SaaS; AI/ML","Seed; Series A"
"Arianna Simpson General (A16zcrypto)","Andreessen Horowitz",6119e499-b820-4a2b-8999-27e0a85ed5e7,NO,YES,NO,"https://linkedin.com/in/arianna-simpson-general","Arianna Simpson General is a partner at Andreessen Horowitz. Invests in software eating the world - consumer, enterprise, crypto, bio across all stages","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics","Seed; Series A; Series B; Growth"
"Ariel Kantor, Ph.D.","Ariel Kantor, Ph.D.",616e2d2e-60df-43fd-b30e-13050768d0f4,YES,YES,YES,"https://linkedin.com/in/ariel-kantor","Principal at Versantventures","SaaS; AI/ML","Seed; Series A"
"Ariel Kantor, Ph.D. (Versant Ventures)","Ariel Kantor, Ph.D. (Versant Ventures)",673e2f8c-382d-4354-917f-4c9a76193d8c,YES,NO,YES,"https://linkedin.com/in/ariel-kantor","Ariel Kantor is an investor at Versant Ventures focused on SaaS, AI/ML, HealthTech investing at Seed and Series A stage.","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Arif Janmohamed","Arif Janmohamed",a3475def-0e44-4c56-b781-1fa9e5357d85,YES,YES,YES,"https://linkedin.com/in/arif-janmohamed","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Arif Janmohamed (Lightspeed)","Lightspeed Venture Partners",caddd1ad-3718-4ac9-a3c1-4b8f2535377d,YES,YES,NO,"https://linkedin.com/in/arif-janmohamed","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Arjun Balaji","Arjun Balaji",e5af00c7-193b-474b-b46d-72b02b2a1cd2,YES,YES,YES,"https://linkedin.com/in/arjun-balaji","Partner, Investing & Research at Paradigm","SaaS; AI/ML","Seed; Series A"
"Arjun Balaji (Paradigm)","Paradigm",4a68248a-aa43-4317-a1ba-372624ddd0de,YES,YES,NO,"https://linkedin.com/in/arjun-balaji","Arjun Balaji is a partner at Paradigm. Crypto-native investor in DeFi and web3","technology","seed; series_a"
"Arjun Jain","Arjun Jain",d3d86473-922e-4322-ab3c-bd4b6571465e,YES,YES,YES,"https://linkedin.com/in/arjun-jain","Principal","SaaS; AI/ML","Seed; Series A"
"Arjun Jain (Nea)","New Enterprise Associates",662c6fc6-b033-4458-b4d7-f2373cda7cf4,YES,YES,NO,"https://linkedin.com/in/arjun-jain","Arjun Jain is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"Arjun Sethi","Tribe Capital",2d30909c-0651-4f7d-bf1d-0ad940cb3755,YES,YES,YES,"https://linkedin.com/in/arjunsethi","Former partner at Social Capital. Invested in FTX, Carta, Lyft, Bumble, CTRL-labs.","fintech; saas; consumer; ai","seed; series_a; series_b"
"ARK","ARK",0afe8244-9054-4a0c-b792-90d3ae8fc542,YES,YES,YES,"https://www.ark-funds.com/?_gl=1*1wmmor4*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiA0KrJBhCOARIsAGIy9wA9ECvVDsNzVRGwxo0AZ9ojijjhW8LyeiRhuJCvDj_aj0LWt15QWvgaAnF3EALw_wcB&gbraid=0AAAAADoxXfLqmZX9NsUSvGwEBTm2Wa7CN","ARK aims to deliver long-term capital appreciation by investing in leaders, enablers, and beneficiaries of disruptive innovation, seeking to transform breakthrough research into actionable investment ","Next Generation Internet; Autonomous Technology And Robotics; Digital Assets And Fintech Innovation; Genomic Revolution; Space Exploration And Defense; Autonomous Technology and Robotics; Digital Assets and Fintech; Space Exploration and Defense","seed; series_a"
"Arlan Hamilton","Backstage Capital",c1bd9623-4584-4056-81ce-c2f681c0345d,YES,NO,YES,"https://linkedin.com/in/arlanhamilton","Invested in 200+ underrepresented founders. Author, speaker, advocate for diversity in VC.","saas; consumer; fintech; healthcare","pre_seed; seed"
"Armory Square Ventures","Armory Square Ventures",3f8abb39-0f35-4486-bab4-87c0e351fa46,YES,NO,YES,"https://linkedin.com/in/armory-square-ventures","Armory Square Ventures is a vc firm focused on Generalist, B2B Tech, SaaS investing at Seed and Seed+ stage.","Generalist; B2B Tech; SaaS; Enterprise; Marketplaces","Seed; Seed+; Late Seed"
"Arpan Shah","Arpan Shah",180c23ec-535d-48c3-a38b-7923e4492385,YES,YES,YES,"https://linkedin.com/in/arpan-shah","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Arpan Shah (Spark Capital)","Arpan Shah (Spark Capital)",a3458e3a-599b-4c74-ab19-dbbef147c4ef,YES,NO,YES,"https://linkedin.com/in/arpan-shah","Spark Capital is a venture firm that partners with exceptional founders. Invested in Twitter, Slack, Tumblr, and Wayfair.","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"article Christina Cacioppo (Firstround)","article Christina Cacioppo (Firstround)",4b431332-8618-4a4d-a6eb-e7fcee1c0eff,YES,YES,NO,"https://linkedin.com/in/article-christina-cacioppo","","AI; SaaS; Fintech","Seed; Series A"
"article David Hsu (Firstround)","article David Hsu (Firstround)",df36dc7e-d977-48a6-b9a6-677d25bfecc6,YES,YES,NO,"https://linkedin.com/in/article-david-hsu","","AI; SaaS; HealthTech","Seed; Series A"
"article David Hsu (Firstround)","article David Hsu (Firstround)",0ac5aca8-2d19-4cd5-a1e8-e5b6d7b8a0b0,YES,YES,NO,"https://linkedin.com/in/article-david-hsu","","AI; SaaS; HealthTech","Seed; Series A"
"article Dharmesh Shah (Firstround)","article Dharmesh Shah (Firstround)",36ff01ce-cceb-47d7-b2c0-3f3d3d496b19,YES,YES,NO,"https://linkedin.com/in/article-dharmesh-shah","","AI; SaaS; Healthtech","Seed; Series A"
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",071bc8a7-adfb-45dc-bc56-b3571f69e76e,YES,YES,YES,"","","SaaS; AI/ML",""
"article Guillermo Rauch (Firstround)","article Guillermo Rauch (Firstround)",c3e7cc21-9042-40a7-bcf4-4fc58cbbec7d,YES,YES,YES,"","","SaaS; AI/ML",""
"Artiman Capital India (Pvt) Ltd.","Artiman Capital India (Pvt) Ltd.",f3a6cbff-ef75-4d26-93ef-e66dfce6bb33,YES,YES,NO,"https://linkedin.com/in/artiman-capital-india-pvt-ltd","Focuses on early-stage technology investments in India.","AI; SaaS; Fintech","Seed; Series A"
"Artiman Management LLC","Artiman Management LLC",b76bca39-1b82-4325-8fea-c1446be99d8c,YES,YES,YES,"https://linkedin.com/in/artiman-management-llc","A venture capital firm investing in early-stage technology and life sciences companies.","technology","seed; series_a"
"Artiman Ventures","Artiman Ventures",f5d59553-d1b3-4667-9cd0-176903ed31e8,YES,NO,NO,"https://linkedin.com/in/artiman-ventures","Focuses on early-stage Technology and Medtech investments.","AI; SaaS; Healthcare","Seed; Series A"
"as Managing (A16z)","as Managing (A16z)",cdf7c1c3-f9a4-47eb-b0f2-3716e76f231f,YES,YES,YES,"","","AI/ML; Crypto; SaaS",""
"Ascend Venture Capital","Ascend Venture Capital",94e3a347-57a5-4b91-b6c2-48d937398ad9,YES,YES,YES,"https://linkedin.com/in/ascend-venture-capital","","Enterprise Software; Minority Founders; Female Founders","Pre-Seed; Seed"
"Ash Fontana","Zetta Venture Partners",bea8cfa6-ed3b-49e3-a705-7e6943bcb1ee,YES,YES,NO,"https://linkedin.com/in/ashfontana","Author of ""The AI-First Company"". Invested in 50+ AI/ML startups.","AI/ML; SaaS; Fintech","seed; series_a"
"Ashley Cravens","Ashley Cravens",eed5bef0-f688-4377-8f0e-86472351a7f7,YES,YES,YES,"https://linkedin.com/in/ashley-cravens","Head of Operations and Platform at Uncorkcapital","SaaS; AI/ML","Seed; Series A"
"Ashley Cravens (Uncork Capital)","Ashley Cravens (Uncork Capital)",c6bcd675-2e0b-497d-8596-80aeb3bf5c17,YES,YES,YES,"https://linkedin.com/in/ashley-cravens","Head of Operations and Platform at Uncork Capital","AI/ML; API; SaaS","Seed"
"Assaf Rappaport","Assaf Rappaport",ef058c1c-0cfd-4531-b1f5-149a0b69533d,YES,YES,YES,"https://linkedin.com/in/assaf-rappaport","Technology entrepreneur","SaaS; AI/ML","Seed; Series A"
"Assistant Brett GibsonManaging (Initialized)","Initialized Capital",331b82fa-07a8-4609-ab0e-a13972e16ce8,YES,YES,NO,"https://linkedin.com/in/assistant-brett-gibsonmanaging","Assistant Brett GibsonManaging is a partner at Initialized Capital. Backs technical founders at pre-seed and seed","SaaS; Consumer; Developer Tools","Pre-Seed; Seed"
"Assistant Chris FralicBoard (Firstround)","Assistant Chris FralicBoard (Firstround)",d3304de9-0e9a-48e8-b03b-937994f9449a,YES,YES,YES,"https://linkedin.com/in/assistant-chris-fralicboard","","AI; SaaS; Consumer","Seed; Series A"
"Astasia Myers","Astasia Myers",2139e041-70ae-40e5-a607-13b1cd3695bb,YES,YES,YES,"https://linkedin.com/in/astasia-myers","General Partner at Felicis","SaaS; Consumer; Fintech","Seed; Series A"
"Astasia Myers (Felicis)","Astasia Myers (Felicis)",1b0d1810-5deb-4acf-b33e-ce5b2a711ded,YES,YES,YES,"https://linkedin.com/in/astasia-myers","General Partner","SaaS; Consumer; Fintech","Seed; Series A"
"Astasia MyersGeneral (Felicis)","Astasia MyersGeneral (Felicis)",60d7fd88-0acb-4100-90e9-11eac286e8cd,YES,YES,YES,"https://linkedin.com/in/astasia-myersgeneral","","SaaS; Consumer; Fintech","Seed; Series A"
"Astorg","Astorg",fe94faa4-56f1-4568-94d5-b96efc18b46b,YES,YES,YES,"https://linkedin.com/in/astorg","Private equity firm involved in employee equity situation with IQ-EQ","SaaS; AI/ML","Seed; Series A"
"at Evercore (Panteracapital)","at Evercore (Panteracapital)",4d44821d-d72e-43c5-a1f1-594787dc0508,YES,YES,YES,"https://linkedin.com/in/at-evercore","","SaaS; AI/ML","Seed; Series A"
"at Evercore Partners","at Evercore Partners",0c7b3653-90ff-4514-abaf-3f37f34906da,YES,YES,NO,"https://linkedin.com/in/at-evercore-partners","","AI; SaaS; Fintech","Seed; Series A"
"at Evercore Partners","at Evercore Partners",cf022c62-2604-45d3-8a89-ffc3f259d3e4,YES,YES,NO,"https://linkedin.com/in/at-evercore-partners","","AI; SaaS; Healthcare","Seed; Series A"
"at Hitchwood Capital","at Hitchwood Capital",4648e454-6b21-4b39-8746-b522c83492ff,YES,YES,NO,"https://linkedin.com/in/at-hitchwood-capital","","AI; SaaS; Fintech","Seed; Series A"
"at Hitchwood Capital","at Hitchwood Capital",50f08564-e52f-46f2-a9b7-256522b8cb0c,YES,YES,NO,"https://linkedin.com/in/at-hitchwood-capital","","AI; SaaS; HealthTech","Seed; Series A"
"at Pantera Capital","at Pantera Capital",678a52d1-a8fd-4563-a80f-645ed98751cb,YES,YES,NO,"https://linkedin.com/in/at-pantera-capital","","Blockchain; Cryptocurrency; DeFi","Seed; Series A"
"at Strategic Value (Panteracapital)","at Strategic Value (Panteracapital)",12ad9760-526c-4116-94b0-6f38c58d7a97,YES,YES,YES,"https://linkedin.com/in/at-strategic-value","","SaaS; AI/ML","Seed; Series A"
"at Tiger Management","Tiger Global",77961df4-7e90-4edb-a0f8-eb57f07a699f,YES,YES,NO,"https://linkedin.com/in/at-tiger-management","at Tiger Management is a partner at Tiger Global. High-velocity investing at growth stages","AI; SaaS; Fintech","Seed; Series A"
"Atlas Unlimited for (Bvp)","Atlas Unlimited for (Bvp)",336af6e0-e534-49e1-8c9a-d71fa0d3753e,YES,NO,NO,"https://linkedin.com/in/atlas-unlimited-for","Atlas Unlimited for is an investor at Bvp focused on AI, SaaS, Cloud Computing investing at Seed and Series A stage.","AI; SaaS; Cloud Computing","Seed; Series A"
"Atomico","Atomico",fd39ab80-9cbc-4879-a922-09854cebaf40,YES,YES,YES,"https://linkedin.com/in/atomico","Atomico is a venture capital firm designed to help gamechanging entrepreneurs build technology to rewire the world.","technology","seed; series_a"
"Atypical","Atypical",37fd7de7-9822-419e-9db9-80f2852e153e,YES,NO,YES,"https://linkedin.com/in/atypical","Atypical is a angel investor focused on DeepTech, AI/ML, API-first investing at Pre-Seed stage.","DeepTech; AI/ML; API-first; Cybersecurity","Pre-Seed"
"Autotech Ventures","Autotech Ventures",0b55054b-fb39-4621-9b06-2748f8784444,YES,YES,YES,"https://www.autotechvc.com","Early-stage venture capital firm with more than $500M under management focused on solving the world's ground transport challenges with technology. Invests in startups transforming ground transportatio","Ground transportation; Mobility; Connectivity; Autonomy; Shared-use; Electrification; Enterprise digitization; Deep-tech; Autonomous vehicles; Artificial Intelligence; Semiconductors; Marketplaces; FinTech; SaaS","seed; series_a"
"Avisha Mehra Naganath","Avisha Mehra Naganath",5494abe2-22ca-4740-a147-cdb8e6151ae4,YES,YES,YES,"https://linkedin.com/in/avisha-mehra-naganath","Operator at Khosla Ventures","SaaS; AI/ML","Seed; Series A"
"Avron Marcus (Index Ventures)","Index Ventures",f18772b5-2d9c-4854-b317-a78b4f128ccb,YES,YES,NO,"https://linkedin.com/in/avron-marcus","Avron Marcus is a partner at Index Ventures. Backs exceptional entrepreneurs across US and Europe","SaaS; Fintech; Consumer","Seed; Series A; Series B"
"Axel Bouchon (Arch Venture Partners)","Axel Bouchon (Arch Venture Partners)",8d03fdf8-d57c-4f39-8c47-d684b71d1f6e,YES,NO,YES,"https://linkedin.com/in/axel-bouchon","Axel Bouchon is an investor at Arch Venture Partners focused on technology investing at seed and series_a stage.","technology","seed; series_a"
"Axel Bouchon, Ph.D.","Axel Bouchon, Ph.D.",a8941d79-24c5-49a4-9dfc-c60c17831276,YES,YES,YES,"https://linkedin.com/in/axel-bouchon","Venture Partner at Archventure","SaaS; AI/ML","Seed; Series A"
"Aya Somai","Aya Somai",e7409984-04e0-45de-bf40-c21af2343f91,YES,YES,YES,"https://linkedin.com/in/aya-somai","Associate","SaaS; AI/ML","Seed; Series A"
"Aya Somai (Nea)","New Enterprise Associates",2fb591ea-5a55-4b53-9308-01d00978c636,YES,YES,NO,"https://linkedin.com/in/aya-somai","Aya Somai is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"Aydin Senkut","Aydin Senkut",3abb7d21-eb84-418b-9f17-5c8bceefec6b,YES,YES,YES,"https://linkedin.com/in/aydin-senkut","Founder, Managing Partner at Felicis","SaaS; Consumer; Fintech","Seed; Series A"
"Aydin Senkut (Felicis)","Aydin Senkut (Felicis)",fbb295b0-0882-472f-ae9a-be145fb9f0ef,YES,YES,YES,"https://linkedin.com/in/aydin-senkut","Founder, Managing Partner","SaaS; Consumer; Fintech","Seed; Series A"
"Aydin SenkutFounder (Felicis)","Aydin SenkutFounder (Felicis)",2998fece-5b64-40c4-9255-1702c4c4830b,YES,YES,YES,"https://linkedin.com/in/aydin-senkutfounder","","SaaS; Consumer; Fintech","Seed; Series A"
"Ayush Goradia","Ayush Goradia",7aeef8a9-128b-451c-9b69-5415b6d55fe7,YES,YES,YES,"https://linkedin.com/in/ayush-goradia","Senior Associate","SaaS; AI/ML","Seed; Series A"
"Ayush Goradia (NEA)","New Enterprise Associates",894acc22-7c40-4501-a9d1-a97a6c63cc2b,YES,YES,NO,"https://linkedin.com/in/ayush-goradia","Ayush Goradia is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer","Seed; Series A; Series B; Growth"
"Ayush GoradiaSenior (Nea)","New Enterprise Associates",d308ef58-ba6b-4928-9ff9-dbb64162479a,YES,YES,NO,"https://linkedin.com/in/ayush-goradiasenior","Ayush GoradiaSenior is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer","Seed; Series A; Series B; Growth"
"Ayushi Gupta","Ayushi Gupta",a15b9b98-776c-4d08-b3bc-3003568a55e6,YES,YES,YES,"https://linkedin.com/in/ayushi-gupta","Accel Partner based in Bangalore","SaaS; AI/ML","Seed; Series A"
